,0
Gross_CAGR,0.15582934052337372
Net_CAGR,0.15075282859344608
Cost_Drag_CAGR,0.005076511929927641
Annual_Return,0.15075282859344608
Annual_Volatility,0.20230341008076289
Sharpe_Ratio,0.796117628833871
Sortino_Ratio,0.9857121472578253
Max_Drawdown,-0.3677820962936663
Calmar_Ratio,0.40989713776897146
Information_Ratio,-0.0314418515132866
Alpha,0.014440233430352414
Beta,0.92303567138782
Total_Transaction_Costs,11118393.61903337
Annual_Turnover,4.383987118372201
Average_Rebalance_Turnover,0.7427666235751385
Win_Rate,0.5404624277456648
Average_Holding_Period,57.48192072552645
Evaluation_Period,bull_market
